region,child_mortality,new_born,crime,disable,morbidity,poverty_percent,welfare_expense_share,per_capita,real_income,formal_wage_paid,real_pay,poor_children,poor_pensioners,poor_employable,Living_Area_Per_Member,Poor_Condition,grp,self-produced_good,retail,drugs,alcoholism,workers,population,pension_for_old,social_pension,number_of_children,number_of_pensioners,number_able_bodied,without_work,housing_amenities,Cluster
Нижегородская область,5.04466773415712,9.334475859826394,7.304524877637782,90.86194113125408,9943.743,9.6,22.8,39.33613647504423,98.375,32.52430083586753,103.1,35.6,7.5,56.925,17.5,1.5333333333333334,474229.17499999993,944.2065515755762,59.12088138881341,7.459999999999999,42.220000000000006,92.26,3189745.6,57.446796034669156,56.735997206896926,16.98,27.82,55.2,4.040000000000001,69.74199999999999,1
Новгородская область,5.049233167060599,8.921375671781673,10.921222321763846,99.22421587036057,9225.529,13.725,24.025,31.4577047323568,96.575,30.366429610589407,101.45,33.325,7.25,59.4,17.6,1.4333333333333331,444603.45,743.2217991250694,49.78194756815643,9.86,59.5,86.66000000000001,598364.8,57.82397889066021,56.32563896475769,17.66,29.46,52.88,6.159999999999999,44.584,1
Новосибирская область,5.187980652881739,11.02894483278524,8.372970175945616,65.57349858453529,8443.207,14.225,23.475,36.13190801392031,101.325,35.49462861347278,105.2,36.325,7.025,56.6,16.3,2.8666666666666667,470008.92499999993,485.0254344873343,48.13236556545479,17.860000000000003,40.34,84.06000000000002,2801594.6,57.145328275887344,61.74139793354014,18.82,24.82,56.34,7.720000000000001,64.444,1
Омская область,6.081809732696641,10.22565322397268,9.232941662917153,65.61462453954121,7921.219,13.825,29.025,31.80449456675628,98.625,32.383596069822055,104.35,41.65,5.550000000000001,52.825,16.9,2.233333333333333,382728.4,997.2278622498488,44.82587991219919,7.479999999999999,27.0,82.62,1920888.2,54.98924376523191,63.081578248709825,19.54,24.98,55.48,8.02,57.636,1
Оренбургская область,5.115625517306109,10.587913340569548,10.499808847648437,99.84487908125593,8316.219,14.2,25.85,29.075846194598114,99.125,30.045842520550302,104.325,42.85,5.25,51.875,19.0,2.4666666666666663,520276.825,942.7765084804062,41.25704340066465,4.18,78.89999999999999,82.10000000000001,1913377.0,54.0121305407436,63.469872916234806,20.1,25.16,54.760000000000005,9.16,71.446,1
Орловская область,5.7988507496165,8.398624668751633,6.1988174854334215,84.05238063111463,9691.76,13.475,25.65,30.989127423190162,99.475,27.193047416789497,104.65,38.825,6.7250000000000005,54.425,18.8,2.5,347763.625,365.6794651377649,46.72307120032274,4.76,84.64000000000001,76.24000000000001,736987.8,58.32004837557033,57.62799600916002,16.419999999999998,29.2,54.36,4.6,67.51200000000001,1
Пензенская область,4.376854717898548,8.066134848772588,7.503445921054537,73.78102119174493,8063.458,13.575,23.425,27.479821337774517,99.9,28.364790842006943,103.4,37.3,9.5,53.25,16.9,0.8666666666666667,328419.825,380.137483890769,41.331537482168834,6.659999999999999,104.92,81.96000000000001,1307767.4,53.87895112967951,53.09090071512652,15.96,29.6,54.44,5.7,67.242,1
Пермский край,4.600152954374066,10.731367328222763,11.003626722782126,79.2823381835017,9432.728,14.275,23.525,35.88193922196072,98.75,35.814499040866494,105.0,40.525,5.175,54.275000000000006,16.0,2.4,533400.35,1204.3492667944292,52.432089259240875,12.24,79.64,79.46000000000001,2586994.0,58.36175398090631,62.47058695169896,20.3,24.660000000000004,55.040000000000006,6.659999999999999,66.94200000000001,1
Приморский край,5.669940737881501,10.03775371510719,10.22894690415013,58.39725793938143,8553.626,13.825,23.8,42.95292000694189,100.6,42.33469578865141,105.275,41.55,5.55,52.89999999999999,15.7,2.833333333333333,530783.075,368.4428504287887,56.34066988655376,34.7,62.46,86.64000000000001,1886206.2,59.26447144192183,61.475907667577104,17.82,24.52,57.66,4.779999999999999,52.54200000000001,1
Псковская область,4.972558332221501,8.825549521762433,10.225735180198964,78.13305365866064,7765.871,16.775000000000002,23.25,30.180458590736237,100.2,26.6280783646714,105.175,34.95,7.075,57.925,15.0,2.2,296125.69999999995,419.8018909980726,47.77267118774326,6.2,92.64,82.2,618730.6,55.55274586333901,55.527107283525424,16.6,29.6,53.8,4.88,45.428,1
